brand,package,weight
L2,basket,98
L2,basket,89
L2,basket,105
L2,basket,100
L2,basket,96
L2,basket,93
N,net,95
N,net,113
N,net,113
N,net,95
N,net,99
N,net,114
N,net,107
N,net,112
N,net,109
A,basket,85
A,basket,73
A,basket,68
A,basket,87
A,basket,71
A,basket,76
A,basket,85
A,basket,88
A,basket,90
A,basket,83
L1,net,97
L1,net,97
L1,net,109
L1,net,99
L1,net,94
L1,net,102
L1,net,101
L1,net,90
L1,net,98
L1,net,104
L1,net,85
V,box,69
V,box,71
V,box,73
V,box,64
V,box,64
V,box,69
V,box,74
V,box,79
V,box,70
V,box,67
